LG,TEAM,FName,LName,POS1,G, OPS , SLG , AVG , OBP ,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SB%, ERA ,GS,W,L,PCT,CG,SV, IP ,HA,RA,ER,BBA,SOA,GP,HRA,ShO, FPCT1 ,G1,GS1,TC1,INN1,PO1,A1,E1,DP1, POS2 , FPCT2 , G2 , GS2 , TC2 , INN2 , PO2 , A2 , E2 , DP2 ,Year,TEAM LG,ID,BATS,THROWS
N,ATL,Will,Cunnane,P ,9,,,,,0,0,0,0,0,0,0,0,0,0,0,, 7.44 ,0,1,1, 0.500 ,0,0, 12.1 ,18,10,10,4,11,9,3,0, 1.000 ,9,0,2,12,1,1,0,0,,,,,,,,,,,2004,ATL N,CunnaneWill,,
A,BAL,Jack,Cust,,1, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,1,0,0,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,BAL A,CustJack,,
N,ARI,Casey,Daigle,P ,11, 0.353 , 0.235 , 0.118 , 0.118 ,17,2,2,2,0,0,0,0,7,0,0,, 7.16 ,10,2,3, 0.400 ,0,0, 49.0 ,63,41,39,27,17,10,9,0, 1.000 ,10,10,11,49,5,6,0,0,,,,,,,,,,,2004,ARI N,DaigleCasey,,
N,SF,Brian,Dallimore,3B,20, 0.736 , 0.395 , 0.279 , 0.340 ,43,8,12,2,0,1,7,4,7,0,1,0.0%,,,,,  ,,,,,,,,,,,, 0.950 ,15,7,40,78,12,26,2,3,,,,,,,,,,,2004,SF N,DallimoreBrian,,
A,CLE,Jeff,D'Amico,P ,,,,,,,,,,,,,,,,,, 7.75 ,7,1,2, 0.333 ,0,0, 30.2 ,45,29,26,6,16,7,6,0, 1.000 ,7,7,6,30,2,4,0,1,,,,,,,,,,,2004,CLE A,D'AmicoJeff,,
A,BOS,Johnny,Damon,OF,150, 0.857 , 0.477 , 0.304 , 0.380 ,621,123,189,35,6,20,94,76,71,19,8,70.4%,,,,,  ,,,,,,,,,,,, 0.986 ,148,145,359,1256,349,5,5,2,,,,,,,,,,,2004,BOS A,DamonJohnny,,
N,NY,Vic,Darensbourg,P ,5,,,,,0,0,0,0,0,0,0,0,0,0,0,, 7.14 ,0,0,1, -   ,0,0, 6.3 ,11,5,5,3,1,7,1,0, 1.000 ,7,0,4,6,1,3,0,0,,,,,,,,,,,2004,NY N,DarensbourgVic,,
A,BOS,Brian,Daubach,1B,30, 0.731 , 0.413 , 0.227 , 0.318 ,75,9,17,8,0,2,8,10,21,0,0,,,,,,  ,,,,,,,,,,,, 0.983 ,21,19,121,152,108,11,2,9,,,,,,,,,,,2004,BOS A,DaubachBrian,,
A,ANA,Jeff,DaVanon,OF,108, 0.795 , 0.418 , 0.277 , 0.378 ,285,41,79,11,4,7,34,46,54,18,3,85.7%,,,,,  ,,,,,,,,,,,, 0.993 ,92,53,145,531,142,2,1,2,,,,,,,,,,,2004,ANA A,DaVanonJeff,,
A,CHI,Ben,Davis,C ,68, 0.601 , 0.347 , 0.207 , 0.254 ,193,22,40,9,0,6,18,12,49,1,1,50.0%,,,,,  ,,,,,,,,,,,, 0.993 ,67,55,425,494,400,22,3,4,,,,,,,,,,,2004,CHI A,DavisBen,,
N,MIL,Doug,Davis,P ,33, 0.046 , 0.016 , 0.016 , 0.031 ,64,0,1,0,0,0,0,1,43,0,0,, 3.39 ,34,12,12, 0.500 ,0,0, 207.1 ,192,84,78,79,166,34,14,0, 0.976 ,34,34,42,207,15,26,1,2,,,,,,,,,,,2004,MIL N,DavisDoug,,
N,PIT,J.J.,Davis,OF,25, 0.402 , 0.171 , 0.143 , 0.231 ,35,4,5,1,0,0,3,4,10,2,0,100.0%,,,,,  ,,,,,,,,,,,, 0.895 ,17,9,19,81,16,1,2,0,,,,,,,,,,,2004,PIT N,DavisJ.J.,,
A,CLE,Jason,Davis,P ,2, 1.000 , 0.800 , 0.200 , 0.200 ,5,1,1,0,0,1,1,0,2,0,0,, 5.52 ,19,2,7, 0.222 ,0,0, 114.1 ,148,81,70,51,72,26,13,0, 0.912 ,26,19,34,114,10,21,3,0,,,,,,,,,,,2004,CLE A,DavisJason,,
A,CLE,Joe,Dawley,P ,,,,,,,,,,,,,,,,,, 5.56 ,2,0,0,,0,0, 8.1 ,7,5,5,7,8,2,1,0, 1.000 ,2,2,4,8,2,2,0,1,,,,,,,,,,,2004,CLE A,DawleyJoe,,
N,MON,Zach,Day,P ,17, 0.172 , 0.138 , 0.034 , 0.034 ,29,1,1,0,0,1,1,0,17,0,0,, 3.95 ,19,5,10, 0.333 ,1,0, 116.2 ,117,53,51,45,61,19,13,1, 1.000 ,19,19,26,116,10,16,0,1,,,,,,,,,,,2004,MON N,DayZach,,
N,MIL,Jorge,de la Rosa,P ,5, -   , -   , -   , -   ,6,0,0,0,0,0,0,0,6,0,0,, 6.49 ,5,0,3, -   ,0,0, 22.2 ,29,20,16,14,5,5,1,0, 0.800 ,5,5,5,22,2,2,1,0,,,,,,,,,,,2004,MIL N,de la RosaJorge,,
A,TOR,Valerio,de los Santos,P ,,,,,,,,,,,,,,,,,, 6.43 ,0,0,0,,0,0, 11.2 ,11,8,8,10,10,17,0,0, 1.000 ,17,0,2,11,0,2,0,0,,,,,,,,,,,2004,TOR A,de los SantosValerio,,
A,BAL,Mike,DeJean,P ,21, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,1,0,0,, 6.20 ,0,0,5, -   ,0,0, 39.2 ,49,29,27,28,36,37,2,0, 1.000 ,54,0,9,60,3,6,0,1,,,,,,,,,,,2004,BAL A,DeJeanMike,,
A,KC,David,DeJesús,OF,96, 0.748 , 0.402 , 0.287 , 0.346 ,363,58,104,15,3,7,39,33,53,8,11,42.1%,,,,,  ,,,,,,,,,,,, 0.984 ,95,92,253,796,246,3,4,0,,,,,,,,,,,2004,KC A,DeJesúsDavid,,
A,TOR,Carlos,Delgado,1B,128, 0.899 , 0.535 , 0.269 , 0.364 ,458,74,123,26,0,32,99,69,115,0,1,0.0%,,,,,  ,,,,,,,,,,,, 0.996 ,120,120,1134,1038,1041,88,5,98,,,,,,,,,,,2004,TOR A,DelgadoCarlos,,
N,NY,Wilson,Delgado,SS,42, 0.750 , 0.385 , 0.292 , 0.366 ,130,11,38,4,1,2,13,15,29,1,0,100.0%,,,,,  ,,,,,,,,,,,, 0.957 ,39,37,185,340,49,128,8,28,,,,,,,,,,,2004,NY N,DelgadoWilson,,
A,TEX,David,Dellucci,OF,107, 0.777 , 0.441 , 0.242 , 0.336 ,331,59,80,13,1,17,61,47,88,9,4,69.2%,,,,,  ,,,,,,,,,,,, 0.989 ,97,86,179,737,177,0,2,0,,,,,,,,,,,2004,TEX A,DellucciDavid,,
N,CHI,Ryan,Dempster,P ,23, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,1,0,0,, 4.01 ,0,1,1, 0.500 ,0,2, 20.2 ,16,9,9,13,18,23,1,0, 1.000 ,23,0,6,20,4,2,0,0,,,,,,,,,,,2004,CHI N,DempsterRyan,,
A,CLE,Kyle,Denney,P ,,,,,,,,,,,,,,,,,, 9.56 ,4,1,2, 0.333 ,0,0, 16.0 ,32,17,17,8,13,4,3,0, 1.000 ,4,4,2,16,0,2,0,0,,,,,,,,,,,2004,CLE A,DenneyKyle,,
A,NY,Jorge,DePaula,P ,,,,,,,,,,,,,,,,,, 5.00 ,1,0,1, -   ,0,0, 9.0 ,9,6,5,4,2,3,2,0, 1.000 ,3,1,3,9,1,2,0,0,,,,,,,,,,,2004,NY A,DePaulaJorge,,
N,ATL,Mark,DeRosa,3B,118, 0.613 , 0.320 , 0.239 , 0.292 ,309,33,74,16,0,3,31,23,53,1,3,25.0%,,,,,  ,,,,,,,,,,,, 0.942 ,91,71,207,655,40,155,12,18,,,,,,,,,,,2004,ATL N,DeRosaMark,,
N,ARI,Elmer,Dessens,P ,48, 0.553 , 0.273 , 0.182 , 0.280 ,22,0,4,2,0,0,0,3,3,0,0,, 4.49 ,10,2,6, 0.250 ,0,2, 104.3 ,123,61,52,31,73,50,15,0, 0.947 ,50,10,19,104,5,13,1,0,,,,,,,,,,,2004,ARI N,DessensElmer,,
N,ARI,Doug,DeVore,OF,50, 0.646 , 0.374 , 0.224 , 0.272 ,107,5,24,3,2,3,13,7,31,1,1,50.0%,,,,,  ,,,,,,,,,,,, 1.000 ,34,22,55,209,53,2,0,1,,,,,,,,,,,2004,ARI N,DeVoreDoug,,
N,MON,Einar,Díaz,C ,55, 0.582 , 0.302 , 0.223 , 0.280 ,139,9,31,6,1,1,11,11,10,2,0,100.0%,,,,,  ,,,,,,,,,,,, 0.990 ,45,37,286,334,264,19,3,6,,,,,,,,,,,2004,MON N,DíazEinar,,
A,CHI,Félix,Díaz,P ,1, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,0,0,0,, 6.78 ,7,2,5, 0.286 ,0,0, 49.1 ,62,38,37,16,33,18,13,0, 1.000 ,18,7,6,49,2,4,0,0,,,,,,,,,,,2004,CHI A,DíazFélix,,
A,TB,Matt,Diaz,OF,10, 0.703 , 0.476 , 0.190 , 0.227 ,21,3,4,1,1,1,3,1,6,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,4,4,11,29,11,0,0,0,,,,,,,,,,,2004,TB A,DiazMatt,,
N,NY,Victor,Diaz,OF,15, 0.837 , 0.529 , 0.294 , 0.308 ,51,8,15,3,0,3,8,1,15,0,0,,,,,,  ,,,,,,,,,,,, 0.935 ,14,12,31,108,29,0,2,0,,,,,,,,,,,2004,NY N,DiazVictor,,
A,TEX,R.A.,Dickey,P ,1,,,,,0,0,0,0,0,0,0,0,0,0,0,, 5.62 ,15,6,7, 0.462 ,0,1, 104.1 ,136,77,65,33,57,25,17,0, 0.935 ,25,15,31,104,7,22,2,0,,,,,,,,,,,2004,TEX A,DickeyR.A.,,
N,CHI,Mike,DiFelice,C ,17, 0.414 , 0.200 , 0.120 , 0.214 ,25,3,3,0,1,0,2,3,4,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,16,4,52,65,46,6,0,1,,,,,,,,,,,2004,CHI N,DiFeliceMike,,
A,BOS,Lenny,DiNardo,P ,3,,,,,0,0,0,0,0,0,0,0,0,0,0,, 4.30 ,0,0,0,,0,0, 27.2 ,34,17,13,12,21,22,1,0, 0.778 ,22,0,9,27,4,3,2,0,,,,,,,,,,,2004,BOS A,DiNardoLenny,,
A,DET,Craig,Dingman,P ,5,,,,,0,0,0,0,0,0,0,0,0,0,0,, 6.80 ,0,2,2, 0.500 ,0,0, 29.1 ,33,22,22,22,16,24,3,0, 1.000 ,24,0,3,29,2,1,0,0,,,,,,,,,,,2004,DET A,DingmanCraig,,
A,SEA,Greg,Dobbs,3B,18, 0.543 , 0.302 , 0.226 , 0.241 ,53,4,12,1,0,1,9,1,14,0,0,,,,,,  ,,,,,,,,,,,, 0.929 ,14,12,28,108,5,21,2,3,,,,,,,,,,,2004,SEA A,DobbsGreg,,
N,COL,Scott,Dohmann,P ,39, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,1,0,0,, 4.11 ,0,0,3, -   ,0,0, 46.0 ,41,22,21,19,49,41,8,0, 1.000 ,41,0,8,46,4,4,0,0,,,,,,,,,,,2004,COL N,DohmannScott,,
A,TEX,Juan,Domínguez,P ,,,,,,,,,,,,,,,,,, 3.91 ,4,1,2, 0.333 ,0,0, 23.0 ,25,11,10,5,14,4,2,0, 1.000 ,4,4,3,23,0,3,0,0,,,,,,,,,,,2004,TEX A,DomínguezJuan,,
A,BOS,Andy,Dominique,1B,7, 0.364 , 0.182 , 0.182 , 0.182 ,11,0,2,0,0,0,1,0,3,0,0,,,,,,  ,,,,,,,,,,,, 0.964 ,6,1,28,21,26,1,1,2,,,,,,,,,,,2004,BOS A,DominiqueAndy,,
A,ANA,Brendan,Donnelly,P ,5,,,,,0,0,0,0,0,0,0,0,0,0,0,, 3.00 ,0,5,2, 0.714 ,0,0, 42.0 ,34,14,14,15,56,40,5,0, 1.000 ,40,0,4,42,2,2,0,0,,,,,,,,,,,2004,ANA A,DonnellyBrendan,,
A,OAK,Octavio,Dotel,P ,32,,,,,0,0,0,0,0,0,0,0,0,0,0,, 3.73 ,0,6,6, 0.500 ,0,36, 84.4 ,68,38,35,33,122,77,13,0, 1.000 ,77,0,11,84,6,5,0,1,,,,,,,,,,,2004,OAK A,DotelOctavio,,
A,TOR,Sean,Douglass,P ,,,,,,,,,,,,,,,,,, 6.36 ,3,0,2, -   ,0,0, 38.2 ,37,27,27,28,36,14,6,0, 1.000 ,14,3,5,38,3,2,0,0,,,,,,,,,,,2004,TOR A,DouglassSean,,
N,MON,Scott,Downs,P ,11, 0.192 , 0.067 , 0.067 , 0.125 ,15,1,1,0,0,0,0,1,7,0,0,, 5.14 ,12,3,6, 0.333 ,1,0, 63.0 ,79,47,36,23,38,12,9,1, 1.000 ,12,12,15,63,3,12,0,1,,,,,,,,,,,2004,MON N,DownsScott,,
A,CHI,Kelly,Dransfeldt,SS,15, 0.667 , 0.333 , 0.333 , 0.333 ,30,5,10,0,0,0,4,0,6,0,0,,,,,,  ,,,,,,,,,,,, 0.952 ,11,5,21,53,6,14,1,1,,,,,,,,,,,2004,CHI A,DransfeldtKelly,,
N,LA,Darren,Dreifort,P ,55, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,1,0,0,, 4.48 ,0,1,4, 0.200 ,0,1, 50.2 ,43,25,25,36,63,60,5,0, 1.000 ,60,0,13,50,1,12,0,0,,,,,,,,,,,2004,LA N,DreifortDarren,,
A,TEX,Ryan,Drese,P ,2, 1.250 , 0.750 , 0.500 , 0.500 ,4,1,2,1,0,0,0,0,2,0,0,, 4.21 ,33,14,10, 0.583 ,2,0, 207.2 ,233,104,97,58,98,34,16,0, 0.958 ,34,33,48,207,15,31,2,5,,,,,,,,,,,2004,TEX A,DreseRyan,,
N,ATL,J.D.,Drew,OF,145, 1.003 , 0.569 , 0.305 , 0.434 ,518,118,158,28,8,31,93,118,116,12,3,80.0%,,,,,  ,,,,,,,,,,,, 0.990 ,146,142,312,1242,296,13,3,0,,,,,,,,,,,2004,ATL N,DrewJ.D.,,
N,ATL,Tim,Drew,P ,12, 0.333 , -   , -   , 0.333 ,2,1,0,0,0,0,0,1,1,0,0,, 4.50 ,0,0,0,,0,0, 16.0 ,21,11,8,5,7,11,2,0, 1.000 ,11,0,5,16,2,3,0,1,,,,,,,,,,,2004,ATL N,DrewTim,,
N,COL,Travis,Driskill,P ,5, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,1,0,0,, 6.67 ,0,0,0,,0,0, 8.1 ,13,6,6,3,6,5,0,0, 1.000 ,5,0,1,8,0,1,0,0,,,,,,,,,,,2004,COL N,DriskillTravis,,
N,CHI,Jason,Dubois,1B,20, 0.685 , 0.435 , 0.217 , 0.250 ,23,2,5,0,1,1,5,1,7,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,6,2,7,23,7,0,0,0,,,,,,,,,,,2004,CHI N,DuboisJason,,
A,BAL,Eric,DuBose,P ,1, -   , -   , -   , -   ,2,0,0,0,0,0,0,0,2,0,0,, 6.43 ,14,4,6, 0.400 ,0,0, 74.2 ,76,55,53,44,48,14,12,0, 0.900 ,14,14,20,74,0,18,2,1,,,,,,,,,,,2004,BAL A,DuBoseEric,,
A,OAK,Justin,Duchscherer,P ,2,,,,,0,0,0,0,0,0,0,0,0,0,0,, 3.28 ,0,7,6, 0.538 ,0,0, 96.1 ,85,37,35,32,59,53,13,0, 1.000 ,53,0,25,96,5,20,0,1,,,,,,,,,,,2004,OAK A,DuchschererJustin,,
N,HOU,Brandon,Duckworth,P ,18, 0.522 , 0.222 , 0.222 , 0.300 ,9,1,2,0,0,0,1,1,2,0,0,, 6.91 ,6,1,2, 0.333 ,0,0, 39.1 ,55,30,30,13,23,19,11,0, 1.000 ,19,6,6,39,3,3,0,2,,,,,,,,,,,2004,HOU N,DuckworthBrandon,,
N,NY,Jeff,Duncan,OF,13, 0.192 , 0.067 , 0.067 , 0.125 ,15,2,1,0,0,0,1,1,5,3,0,100.0%,,,,,  ,,,,,,,,,,,, 1.000 ,4,2,7,22,7,0,0,0,,,,,,,,,,,2004,NY N,DuncanJeff,,
N,CIN,Adam,Dunn,OF,161, 0.952 , 0.569 , 0.266 , 0.383 ,568,105,151,34,0,46,102,108,195,6,1,85.7%,,,,,  ,,,,,,,,,,,, 0.977 ,166,155,348,1386,326,14,8,6,,,,,,,,,,,2004,CIN N,DunnAdam,,
A,ANA,Scott,Dunn,P ,,,,,,,,,,,,,,,,,, 9.00 ,0,0,0,,0,0, 3.0 ,7,3,3,1,2,3,0,0, -   ,3,0,0,3,0,0,0,0,,,,,,,,,,,2004,ANA A,DunnScott,,
A,OAK,Erubiel,Durazo,1B,142, 0.911 , 0.523 , 0.321 , 0.388 ,511,80,164,35,1,22,88,56,104,3,2,60.0%,,,,,  ,,,,,,,,,,,, 0.882 ,4,3,17,19,14,1,2,2,,,,,,,,,,,2004,OAK A,DurazoErubiel,,
N,ARI,Chad,Durbin,P ,7, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,0,0,0,, 7.03 ,8,6,7, 0.462 ,1,0, 60.2 ,72,50,47,35,48,24,11,0, 0.900 ,24,8,10,60,4,5,1,0,,,,,,,,,,,2004,ARI N,DurbinChad,,
A,MIN,J.D.,Durbin,P ,,,,,,,,,,,,,,,,,, 7.61 ,1,0,1, -   ,0,0, 7.1 ,12,6,6,6,6,4,0,0, 1.000 ,4,1,2,7,0,2,0,0,,,,,,,,,,,2004,MIN A,DurbinJ.D.,,
N,SF,Ray,Durham,2B,120, 0.844 , 0.484 , 0.282 , 0.360 ,471,95,133,28,8,17,65,57,60,10,4,71.4%,,,,,  ,,,,,,,,,,,, 0.972 ,118,115,573,990,242,315,16,74,,,,,,,,,,,2004,SF N,DurhamRay,,
N,MIL,Trent,Durrington,3B,53, 0.670 , 0.402 , 0.232 , 0.267 ,82,13,19,2,3,2,4,4,23,4,0,100.0%, -   ,0,0,0,,0,0, 0.1 ,0,0,0,0,0,1,0,0, 0.907 ,18,10,43,105,15,24,4,1,,,,,,,,,,,2004,MIL N,DurringtonTrent,,
A,OAK,Jermaine,Dye,OF,137, 0.791 , 0.464 , 0.265 , 0.327 ,532,87,141,29,4,23,80,49,128,4,2,66.7%,,,,,  ,,,,,,,,,,,, 0.992 ,134,132,263,1178,258,3,2,2,,,,,,,,,,,2004,OAK A,DyeJermaine,,
N,CHI,Ramón,E. Martínez,2B,102, 0.661 , 0.346 , 0.246 , 0.315 ,260,22,64,15,1,3,30,26,40,1,0,100.0%,,,,,  ,,,,,,,,,,,, 0.970 ,103,69,305,661,95,201,9,38,,,,,,,,,,,2004,CHI N,E. MartínezRamón,,
N,FLA,Damion,Easley,2B,98, 0.769 , 0.457 , 0.238 , 0.312 ,223,26,53,20,1,9,43,24,36,4,1,80.0%,,,,,  ,,,,,,,,,,,, 0.974 ,69,45,270,435,167,96,7,30,,,,,,,,,,,2004,FLA N,EasleyDamion,,
N,SD,Adam,Eaton,P ,36, 0.584 , 0.313 , 0.203 , 0.271 ,64,9,13,7,0,0,8,6,16,2,0,100.0%, 4.61 ,33,11,14, 0.440 ,0,0, 199.1 ,204,113,102,52,153,33,28,0, 0.946 ,33,33,37,199,12,23,2,1,,,,,,,,,,,2004,SD N,EatonAdam,,
A,ANA,David,Eckstein,SS,142, 0.658 , 0.332 , 0.276 , 0.326 ,566,92,156,24,1,2,35,42,49,16,5,76.2%,,,,,  ,,,,,,,,,,,, 0.988 ,138,136,513,1191,198,309,6,75,,,,,,,,,,,2004,ANA A,EcksteinDavid,,
N,STL,Jim,Edmonds,OF,153, 1.062 , 0.643 , 0.301 , 0.419 ,498,102,150,38,3,42,111,101,150,8,3,72.7%,,,,,  ,,,,,,,,,,,, 0.988 ,147,142,339,1250,323,12,4,2,,,,,,,,,,,2004,STL N,EdmondsJim,,
N,MON,Joey,Eischen,P ,22, 1.333 , 0.667 , 0.667 , 0.667 ,3,2,2,0,0,0,0,0,0,0,0,, 3.98 ,0,0,1, -   ,0,0, 18.1 ,16,10,8,8,17,21,2,0, 0.500 ,21,0,2,18,0,1,1,0,,,,,,,,,,,2004,MON N,EischenJoey,,
N,COL,Scott,Elarton,P ,10, 0.558 , 0.250 , 0.250 , 0.308 ,12,2,3,0,0,0,0,1,3,0,0,, 5.92 ,29,3,11, 0.214 ,1,0, 158.2 ,164,107,104,62,103,29,33,1, 0.952 ,29,29,21,158,7,13,1,1,,,,,,,,,,,2004,COL N,ElartonScott,,
N,STL,Cal,Eldred,P ,51, -   , -   , -   , -   ,5,0,0,0,0,0,0,0,3,0,0,, 3.76 ,0,4,2, 0.667 ,0,1, 67.0 ,71,31,28,17,54,52,11,0, 1.000 ,52,0,13,67,1,12,0,1,,,,,,,,,,,2004,STL N,EldredCal,,
N,SF,Jason,Ellison,OF,13, 1.750 , 1.250 , 0.500 , 0.500 ,4,4,2,0,0,1,3,0,1,2,0,100.0%,,,,,  ,,,,,,,,,,,, 1.000 ,4,0,5,10,5,0,0,0,,,,,,,,,,,2004,SF N,EllisonJason,,
A,BOS,Alan,Embree,P ,5,,,,,0,0,0,0,0,0,0,0,0,0,0,, 4.15 ,0,2,2, 0.500 ,0,0, 52.1 ,49,28,24,11,37,71,7,0, 1.000 ,71,0,12,52,5,7,0,0,,,,,,,,,,,2004,BOS A,EmbreeAlan,,
N,LA,Juan,Encarnación,OF,135, 0.696 , 0.405 , 0.236 , 0.291 ,484,63,114,30,2,16,62,38,86,5,4,55.6%,,,,,  ,,,,,,,,,,,, 0.978 ,134,131,269,1150,257,6,6,0,,,,,,,,,,,2004,LA N,EncarnaciónJuan,,
A,DET,John,Ennis,P ,,,,,,,,,,,,,,,,,, 8.44 ,0,0,0,,0,1, 16.0 ,20,16,15,5,13,12,3,0, 1.000 ,12,0,2,16,2,0,0,0,,,,,,,,,,,2004,DET A,EnnisJohn,,
N,HOU,Morgan,Ensberg,3B,131, 0.745 , 0.411 , 0.275 , 0.333 ,411,51,113,20,3,10,66,36,46,6,4,60.0%,,,,,  ,,,,,,,,,,,, 0.949 ,119,103,257,922,80,164,13,23,,,,,,,,,,,2004,HOU N,EnsbergMorgan,,
N,MIL,Matt,Erickson,SS,4, 0.333 , 0.167 , 0.167 , 0.167 ,6,0,1,0,0,0,0,0,1,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,2,1,8,12,1,7,0,1,,,,,,,,,,,2004,MIL N,EricksonMatt,,
A,TEX,Scott,Erickson,P ,2, -   , -   , -   , -   ,3,0,0,0,0,0,0,0,2,0,0,, 6.67 ,6,1,4, 0.200 ,0,0, 27.0 ,38,22,20,20,9,6,3,0, 1.000 ,6,6,3,27,1,2,0,0,,,,,,,,,,,2004,TEX A,EricksonScott,,
A,ANA,Darin,Erstad,1B,125, 0.744 , 0.400 , 0.295 , 0.344 ,495,79,146,29,1,7,69,37,74,16,1,94.1%,,,,,  ,,,,,,,,,,,, 0.996 ,124,124,1056,1065,986,66,4,83,,,,,,,,,,,2004,ANA A,ErstadDarin,,
A,NY,Félix,Escalona,3B,5, -   , -   , -   , -   ,8,1,0,0,0,0,0,0,2,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,5,2,10,23,3,7,0,1,,,,,,,,,,,2004,NY A,EscalonaFélix,,
A,CLE,Álex,Escobar,OF,46, 0.623 , 0.309 , 0.211 , 0.314 ,152,20,32,8,2,1,12,23,42,1,1,50.0%,,,,,  ,,,,,,,,,,,, 0.991 ,45,42,112,383,102,9,1,3,,,,,,,,,,,2004,CLE A,EscobarÁlex,,
A,ANA,Kelvim,Escobar,P ,1, -   , -   , -   , -   ,2,0,0,0,0,0,0,0,0,0,0,, 3.94 ,33,11,12, 0.478 ,0,0, 208.1 ,192,91,91,76,191,33,21,0, 1.000 ,33,33,40,208,16,24,0,1,,,,,,,,,,,2004,ANA A,EscobarKelvim,,
N,ARI,Bobby,Estalella,C ,12, 0.674 , 0.407 , 0.185 , 0.267 ,27,3,5,0,0,2,4,3,11,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,9,6,42,55,39,3,0,0,,,,,,,,,,,2004,ARI N,EstalellaBobby,,
N,COL,Shawn,Estes,P ,35, 0.552 , 0.306 , 0.236 , 0.247 ,72,13,17,3,1,0,2,1,11,0,0,, 5.84 ,34,15,8, 0.652 ,1,0, 202.0 ,223,133,131,105,117,34,30,0, 0.976 ,34,34,42,202,14,27,1,4,,,,,,,,,,,2004,COL N,EstesShawn,,
N,ATL,Johnny,Estrada,C ,134, 0.817 , 0.450 , 0.314 , 0.367 ,462,56,145,36,0,9,76,39,66,0,0,,,,,,  ,,,,,,,,,,,, 0.989 ,133,120,829,1042,776,44,9,8,,,,,,,,,,,2004,ATL N,EstradaJohnny,,
N,SF,Leo,Estrella,P ,2,,,,,0,0,0,0,0,0,0,0,0,0,0,, 32.73 ,0,0,0,,0,0, 1.1 ,8,4,4,1,0,2,0,0,,2,0,0,1,0,0,0,0,,,,,,,,,,,2004,SF N,EstrellaLeo,,
N,HOU,Adam,Everett,SS,104, 0.690 , 0.385 , 0.273 , 0.304 ,384,66,105,15,2,8,31,17,56,13,2,86.7%,,,,,  ,,,,,,,,,,,, 0.977 ,99,97,426,842,137,279,10,56,,,,,,,,,,,2004,HOU N,EverettAdam,,
A,CHI,Carl,Everett,OF,82, 0.702 , 0.402 , 0.260 , 0.300 ,281,29,73,17,1,7,35,16,45,1,0,100.0%,,,,,  ,,,,,,,,,,,, 0.955 ,33,33,66,261,61,2,3,0,, 1.000 , 1.000 , 1.000 , 2.000 , 7.000 , 1.000 , 1.000 , -   , -   ,2004,CHI A,EverettCarl,,
N,SF,Scott,Eyre,P ,77, -   , -   , -   , -   ,2,0,0,0,0,0,0,0,1,0,0,, 4.14 ,0,2,2, 0.500 ,0,1, 52.2 ,43,26,24,27,49,83,8,0, 0.900 ,83,0,10,52,2,7,1,0,,,,,,,,,,,2004,SF N,EyreScott,,
N,LA,Brian,Falkenborg,P ,6, 0.333 , -   , -   , 0.333 ,2,1,0,0,0,0,0,1,2,0,0,, 7.66 ,0,1,0, 1.000 ,0,0, 14.1 ,19,14,12,9,11,6,2,0, 0.750 ,6,0,4,14,1,2,1,0,,,,,,,,,,,2004,LA N,FalkenborgBrian,,
N,CHI,Kyle,Farnsworth,P ,67, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,0,0,0,, 4.76 ,0,4,5, 0.444 ,0,0, 66.2 ,67,39,35,33,78,72,10,0, 0.944 ,72,0,18,66,7,10,1,0,,,,,,,,,,,2004,CHI N,FarnsworthKyle,,
N,COL,Jeff,Fassero,P ,38, 0.418 , 0.190 , 0.190 , 0.227 ,21,3,4,0,0,0,1,1,9,0,0,, 5.46 ,12,3,8, 0.273 ,0,0, 112.0 ,136,73,68,44,60,41,9,0, 1.000 ,41,12,31,112,7,24,0,2,,,,,,,,,,,2004,COL N,FasseroJeff,,
N,NY,Pedro,Feliciano,P ,22,,,,,0,0,0,0,0,0,0,0,0,0,0,, 5.47 ,0,1,1, 0.500 ,0,0, 18.1 ,14,12,11,12,14,22,2,0, 1.000 ,22,0,6,18,2,4,0,0,,,,,,,,,,,2004,NY N,FelicianoPedro,,
N,SF,Pedro,Feliz,3B,144, 0.793 , 0.485 , 0.276 , 0.308 ,503,72,139,33,3,22,84,23,85,5,2,71.4%,,,,,  ,,,,,,,,,,,, 0.983 ,145,110,765,1000,577,175,13,75,,,,,,,,,,,2004,SF N,FelizPedro,,
