LG,TEAM,FName,LName,POS1,G, OPS , SLG , AVG , OBP ,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SB%, ERA ,GS,W,L,PCT,CG,SV, IP ,HA,RA,ER,BBA,SOA,GP,HRA,ShO, FPCT1 ,G1,GS1,TC1,INN1,PO1,A1,E1,DP1, POS2 , FPCT2 , G2 , GS2 , TC2 , INN2 , PO2 , A2 , E2 , DP2 ,Year,TEAM LG,ID,BATS,THROWS
A,OAK,Justin,Lehr,P ,1,,,,,0,0,0,0,0,0,0,0,0,0,0,, 5.31 ,0,1,1, 0.500 ,0,0, 32.2 ,35,19,19,14,16,27,3,0, 1.000 ,27,0,7,32,2,5,0,0,,,,,,,,,,,2004,OAK A,LehrJustin,,
N,CHI,Jon,Leicester,P ,30, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,0,0,0,, 3.93 ,0,5,1, 0.833 ,0,0, 41.2 ,40,20,18,15,35,32,7,0, 1.000 ,32,0,4,41,0,4,0,0,,,,,,,,,,,2004,CHI N,LeicesterJon,,
N,NY,Al,Leiter,P ,28, 0.251 , 0.111 , 0.093 , 0.140 ,54,0,5,1,0,0,0,3,30,0,0,, 3.22 ,30,10,8, 0.556 ,0,0, 173.2 ,138,65,62,97,117,30,16,0, 1.000 ,30,30,33,173,7,26,0,4,,,,,,,,,,,2004,NY N,LeiterAl,,
A,SEA,Justin,Leone,SS,31, 0.720 , 0.441 , 0.216 , 0.279 ,102,15,22,5,0,6,13,9,32,1,0,100.0%,,,,,  ,,,,,,,,,,,, 0.895 ,30,29,86,250,28,49,9,2,,,,,,,,,,,2004,SEA A,LeoneJustin,,
A,BAL,José,León,1B,31, 0.509 , 0.303 , 0.182 , 0.206 ,66,4,12,2,0,2,8,2,19,0,0,,,,,,  ,,,,,,,,,,,, 0.990 ,22,14,103,127,83,19,1,10,,,,,,,,,,,2004,BAL A,LeónJosé,,
A,BOS,Curtis,Leskanic,P ,1,,,,,0,0,0,0,0,0,0,0,0,0,0,, 5.31 ,0,3,5, 0.375 ,0,4, 42.4 ,47,27,25,30,37,51,8,0, 1.000 ,51,0,4,42,1,3,0,0,,,,,,,,,,,2004,BOS A,LeskanicCurtis,,
A,DET,Al,Levine,P ,6,,,,,0,0,0,0,0,0,0,0,0,0,0,, 4.62 ,0,3,4, 0.429 ,0,0, 70.2 ,83,37,36,24,32,65,10,0, 0.909 ,65,0,11,70,2,8,1,0,,,,,,,,,,,2004,DET A,LevineAl,,
A,TEX,Colby,Lewis,P ,,,,,,,,,,,,,,,,,, 4.17 ,3,1,1, 0.500 ,0,0, 15.1 ,13,7,7,13,11,3,1,0, 1.000 ,3,3,3,15,1,2,0,0,,,,,,,,,,,2004,TEX A,LewisColby,,
N,HOU,Brad,Lidge,P ,77, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,0,0,0,, 1.91 ,0,6,5, 0.545 ,0,29, 94.2 ,57,21,20,30,157,80,8,0, 1.000 ,80,0,4,94,2,2,0,1,,,,,,,,,,,2004,HOU N,LidgeBrad,,
N,CIN,Cory,Lidle,P ,32, 0.467 , 0.258 , 0.145 , 0.209 ,62,3,9,4,0,1,6,5,36,0,0,, 4.90 ,34,12,12, 0.500 ,5,0, 211.1 ,224,123,115,61,126,34,27,3, 0.984 ,34,34,62,211,17,44,1,2,,,,,,,,,,,2004,CIN N,LidleCory,,
A,NY,Jon,Lieber,P ,1, 0.667 , 0.333 , 0.333 , 0.333 ,3,0,1,0,0,0,0,0,0,0,0,, 4.34 ,27,14,8, 0.636 ,0,0, 176.2 ,216,95,85,18,102,27,20,0, 0.879 ,27,27,33,176,10,19,4,1,,,,,,,,,,,2004,NY A,LieberJon,,
N,PHI,Mike,Lieberthal,C ,131, 0.771 , 0.447 , 0.271 , 0.324 ,476,58,129,31,1,17,61,37,69,1,1,50.0%,,,,,  ,,,,,,,,,,,, 0.993 ,129,123,908,1104,859,43,6,7,,,,,,,,,,,2004,PHI N,LieberthalMike,,
N,MIL,Jeff,Liefer,OF,16, 0.660 , 0.393 , 0.214 , 0.267 ,28,2,6,2,0,1,5,2,8,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,3,3,4,25,4,0,0,0,,,,,,,,,,,2004,MIL N,LieferJeff,,
A,TOR,Kerry,Ligtenberg,P ,2,,,,,0,0,0,0,0,0,0,0,0,0,0,, 6.38 ,0,1,6, 0.143 ,0,3, 55.0 ,73,40,39,25,49,57,6,0, 1.000 ,57,0,6,55,1,5,0,0,,,,,,,,,,,2004,TOR A,LigtenbergKerry,,
A,TOR,Ted,Lilly,P ,3, -   , -   , -   , -   ,3,0,0,0,0,0,0,0,2,0,0,, 4.06 ,32,12,10, 0.545 ,2,0, 197.1 ,171,92,89,89,168,32,26,1, 0.909 ,32,32,22,197,11,9,2,0,,,,,,,,,,,2004,TOR A,LillyTed,,
N,LA,José,Lima,P ,37, 0.392 , 0.188 , 0.188 , 0.204 ,48,1,9,0,0,0,2,1,19,0,0,, 4.07 ,24,13,5, 0.722 ,0,0, 170.1 ,178,81,77,34,93,36,33,0, 1.000 ,36,24,39,170,13,26,0,2,,,,,,,,,,,2004,LA N,LimaJosé,,
N,STL,Mike,Lincoln,P ,13,,,,,0,0,0,0,0,0,0,0,0,0,0,, 5.26 ,0,3,2, 0.600 ,0,0, 17.1 ,10,12,10,6,14,13,1,0, 0.750 ,13,0,4,17,1,2,1,0,,,,,,,,,,,2004,STL N,LincolnMike,,
N,SF,Todd,Linden,OF,16, 0.458 , 0.188 , 0.156 , 0.270 ,32,6,5,1,0,0,1,5,7,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,11,6,9,68,9,0,0,0,,,,,,,,,,,2004,SF N,LindenTodd,,
N,SD,Scott,Linebrink,P ,68, -   , -   , -   , -   ,2,0,0,0,0,0,0,0,2,0,0,, 2.14 ,0,7,3, 0.700 ,0,0, 84.0 ,61,22,20,26,83,73,8,0, 0.818 ,73,0,11,84,4,5,2,0,,,,,,,,,,,2004,SD N,LinebrinkScott,,
N,MIL,Pedro,Liriano,P ,11, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,0,0,0,, 4.14 ,0,0,0,,0,0, 15.2 ,15,10,7,3,10,11,3,0, 1.000 ,11,0,2,15,1,1,0,0,,,,,,,,,,,2004,MIL N,LirianoPedro,,
A,CLE,Mark,Little,OF,11, 0.400 , 0.200 , 0.200 , 0.200 ,20,0,4,0,0,0,2,0,7,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,13,6,13,52,12,1,0,0,,,,,,,,,,,2004,CLE A,LittleMark,,
N,LA,Paul,Lo Duca,C ,143, 0.752 , 0.421 , 0.286 , 0.331 ,535,68,153,29,2,13,80,36,49,4,5,44.4%,,,,,  ,,,,,,,,,,,, 0.996 ,142,135,937,1192,867,66,4,10,,,,,,,,,,,2004,LA N,Lo DucaPaul,,
A,CHI,Esteban,Loaiza,P ,2, -   , -   , -   , -   ,5,0,0,0,0,0,0,0,2,0,0,, 5.73 ,27,10,7, 0.588 ,2,0, 182.3 ,217,124,116,71,117,31,32,1, 1.000 ,31,27,42,182,13,29,0,4,,,,,,,,,,,2004,CHI A,LoaizaEsteban,,
A,TEX,Kameron,Loe,P ,,,,,,,,,,,,,,,,,, 5.81 ,1,0,0,,0,0, 6.2 ,6,5,4,6,3,2,0,0, 0.500 ,2,1,2,6,0,1,1,0,,,,,,,,,,,2004,TEX A,LoeKameron,,
A,NY,Kenny,Lofton,OF,83, 0.743 , 0.395 , 0.275 , 0.349 ,276,51,76,10,7,3,18,31,27,7,3,70.0%,,,,,  ,,,,,,,,,,,, 0.989 ,75,67,186,591,180,4,2,4,,,,,,,,,,,2004,NY A,LoftonKenny,,
A,DET,Nook,Logan,OF,47, 0.688 , 0.346 , 0.278 , 0.342 ,133,12,37,5,2,0,10,13,24,8,2,80.0%,,,,,  ,,,,,,,,,,,, 0.984 ,46,41,122,359,117,3,2,1,,,,,,,,,,,2004,DET A,LoganNook,,
A,MIN,Kyle,Lohse,P ,2, -   , -   , -   , -   ,3,0,0,0,0,0,0,0,3,0,0,, 5.34 ,34,9,13, 0.409 ,1,0, 194.0 ,240,128,115,76,111,35,28,1, 1.000 ,35,34,34,194,12,22,0,1,,,,,,,,,,,2004,MIN A,LohseKyle,,
N,SD,Terrence,Long,OF,136, 0.759 , 0.420 , 0.295 , 0.339 ,288,31,85,19,4,3,28,19,51,3,2,60.0%,,,,,  ,,,,,,,,,,,, 0.986 ,98,56,144,558,140,2,2,0,,,,,,,,,,,2004,SD N,LongTerrence,,
N,NY,Braden,Looper,P ,69, -   , -   , -   , -   ,2,0,0,0,0,0,0,0,1,0,0,, 2.71 ,0,2,5, 0.286 ,0,29, 83.1 ,86,28,25,16,60,71,5,0, 1.000 ,71,0,17,83,5,12,0,1,,,,,,,,,,,2004,NY N,LooperBraden,,
A,TOR,Aquilino,López,P ,,,,,,,,,,,,,,,,,, 6.00 ,0,1,1, 0.500 ,0,0, 21.0 ,21,15,14,13,13,18,5,0, 1.000 ,18,0,3,21,0,3,0,0,,,,,,,,,,,2004,TOR A,LópezAquilino,,
N,CIN,Felipe,López,SS,79, 0.713 , 0.405 , 0.242 , 0.308 ,264,35,64,18,2,7,31,25,81,1,1,50.0%,,,,,  ,,,,,,,,,,,, 0.948 ,77,65,291,603,90,186,15,27,,,,,,,,,,,2004,CIN N,LópezFelipe,,
N,COL,Javier,López,P ,58, -   , -   , -   , -   ,2,0,0,0,0,0,0,0,2,0,0,, 7.61 ,0,1,2, 0.333 ,0,0, 40.2 ,45,34,34,26,20,64,1,0, 0.958 ,64,0,24,40,6,17,1,2,,,,,,,,,,,2004,COL N,LópezJavier,,
A,BAL,Javy,López,C ,150, 0.870 , 0.503 , 0.316 , 0.367 ,579,83,183,33,3,23,86,47,97,0,0,,,,,,  ,,,,,,,,,,,, 0.994 ,132,125,902,1092,848,49,5,11,,,,,,,,,,,2004,BAL A,LópezJavy,,
A,SEA,José,López,SS,57, 0.628 , 0.367 , 0.232 , 0.260 ,207,28,48,13,0,5,22,8,31,0,1,0.0%,,,,,  ,,,,,,,,,,,, 0.956 ,58,55,226,491,90,126,10,24,,,,,,,,,,,2004,SEA A,LópezJosé,,
A,BAL,Luis,López,,56, 0.482 , 0.273 , 0.182 , 0.209 ,88,7,16,5,0,1,8,3,20,0,0,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,BAL A,LópezLuis5181,,
N,MON,Luis,López,,11, 0.308 , 0.154 , 0.154 , 0.154 ,26,0,4,0,0,0,0,0,9,0,0,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,MON N,LópezLuis6711,,
A,KC,Mendy,López,SS,18, 0.375 , 0.184 , 0.105 , 0.190 ,38,4,4,0,0,1,4,4,9,0,0,,,,,,  ,,,,,,,,,,,, 0.921 ,20,10,38,97,20,15,3,5,,,,,,,,,,,2004,KC A,LópezMendy,,
A,SEA,Mickey,López,2B,6, 0.650 , 0.250 , 0.250 , 0.400 ,4,1,1,0,0,0,0,1,0,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,3,0,5,9,1,4,0,0,,,,,,,,,,,2004,SEA A,LópezMickey,,
A,BAL,Rodrigo,López,P ,1,,,,,0,0,0,0,0,0,0,0,0,0,0,, 3.60 ,23,14,9, 0.609 ,1,0, 170.2 ,164,71,68,54,121,37,21,1, 1.000 ,37,23,37,170,15,22,0,2,,,,,,,,,,,2004,BAL A,LópezRodrigo,,
